[' Toyota ', ' Land Cruiser ', ' GX ', ' 207,000 ', None, ' 2024 ', ' Automatic ', ' 6 ', ' 9,000 Km', 'http://qatarsale.com/en/product/toyota_land_cruiser_gx_white_suv_automatic_2024-297410', 'https://media-blob.qatarsale.com/297410-productcovers/29ba353f-9232-4cb1-9220-1f5aa7be08e4_0_cover.webp']
[' Chevrolet ', ' Suburban ', ' LS ', ' 59,000 ', None, ' 2016 ', ' Automatic ', ' 8 ', ' 136,000 Km', 'http://qatarsale.com/en/product/chevrolet_suburban_ls_black_suv_automatic_2016-297409', 'https://media-blob.qatarsale.com/297409-productcovers/3e4cc002-ba03-40c7-b641-6b5cd5c6bd7e_0_cover.webp']
[' Land Rover ', ' Evoque ', ' Dynamic ', ' 125,000 ', None, ' 2021 ', ' Automatic ', ' 4 ', ' 26,000 Km', 'http://qatarsale.com/en/product/land_rover_evoque_dynamic_black_suv_automatic_2021-297408', 'https://media-blob.qatarsale.com/297408-productcovers/bc2bcae0-ba61-4948-96c0-5fbb1a4b5dce_0_cover.webp']
[' Toyota ', ' Hilux ', ' SR5 ', ' 119,000 ', 'Hamat Al Ezz For Cars - Mawater City', ' 2025 ', ' Automatic ', ' 4 ', ' 0 Km', 'http://qatarsale.com/en/product/toyota_hilux_sr5_white_pick_up_automatic_2025-279569', 'https://media-blob.qatarsale.com/279569-productcovers/faa77c28-a627-4615-977d-c734094f0f5a_0_cover.webp']
[' Lexus ', ' ES ', ' 350 ', ' 82,000 ', None, ' 2016 ', ' Automatic ', ' 6 ', ' 59,000 Km', 'http://qatarsale.com/en/product/lexus_es_350_silver_sedan_automatic_2016-297405', 'https://media-blob.qatarsale.com/297405-productcovers/f396baa5-0cae-4be3-a8a0-60891455a828_0_cover.webp']
[' Toyota ', ' Land Cruiser ', ' VXR ', ' 110,000 ', None, ' 2015 ', ' Automatic ', ' 8 ', ' 372,000 Km', 'http://qatarsale.com/en/product/toyota_land_cruiser_vxr_white_suv_automatic_2015-297404', 'https://media-blob.qatarsale.com/297404-productcovers/4c0dec8c-4406-4ef0-9054-a1a9f6df28f1_0_cover.webp']
[' Toyota ', ' Land Cruiser ', ' GXR ', ' 120,000 ', None, ' 2016 ', ' Automatic ', ' 6 ', ' 268,000 Km', 'http://qatarsale.com/en/product/toyota_land_cruiser_gxr_white_suv_automatic_2016-297402', 'https://media-blob.qatarsale.com/297402-productcovers/826b9704-689d-4aad-aab5-3479e7d596a5_0_cover.webp']
[' Cadillac ', ' Escalade ', ' Standard ', ' 85,000 ', None, ' 2016 ', ' Automatic ', ' 8 ', ' 179,000 Km', 'http://qatarsale.com/en/product/cadillac_escalade_purple_suv_automatic_2016-297401', 'https://media-blob.qatarsale.com/297401-productcovers/c7877253-0f48-48fb-ab7f-0968541b750c_0_cover.webp']
[' Nissan ', ' Patrol ', ' SE ', ' 70,000 ', None, ' 2016 ', ' Automatic ', ' 8 ', ' 179,000 Km', 'http://qatarsale.com/en/product/nissan_patrol_se_brown_suv_automatic_2016-297400', 'https://media-blob.qatarsale.com/297400-productcovers/946be290-4539-4b4f-a296-dc13e74ad776_0_cover.webp']
[' Jeep ', ' Grand Cherokee ', ' Limited ', ' 73,000 ', None, ' 2016 ', ' Automatic ', ' 8 ', ' 52,000 Km', 'http://qatarsale.com/en/product/jeep_grand_cherokee_limited_dark_blue_suv_automatic_2016-297399', 'https://media-blob.qatarsale.com/297399-productcovers/75875892-1718-430b-8b41-b24749d9bfc6_0_cover.webp']
[' Porsche ', ' Cayenne ', ' Standard ', ' 170,000 ', None, ' 2019 ', ' Automatic ', ' 6 ', ' 63,000 Km', 'http://qatarsale.com/en/product/porsche_cayenne_silver_suv_automatic_2019-297393', 'https://media-blob.qatarsale.com/297393-productcovers/73522029-db5a-4fa8-8dab-489bdfbdc467_0_cover.webp']
[' Land Rover ', ' Range Rover ', ' Sport HSE ', ' 92,000 ', None, ' 2018 ', ' Automatic ', ' 6 ', ' 170,000 Km', 'http://qatarsale.com/en/product/land_rover_range_rover_sport_hse_gray_suv_automatic_2018-297388', 'https://media-blob.qatarsale.com/297388-productcovers/b52d78c6-5746-4fac-b60a-5c3cc4500b67_0_cover.webp']
[' Land Rover ', ' Range Rover ', ' Sport HSE Dynamic ', ' 155,000 ', None, ' 2020 ', ' Automatic ', ' 6 ', ' 50,000 Km', 'http://qatarsale.com/en/product/land_rover_range_rover_black_suv_automatic_2020_sport_hse_dynamic-297382', 'https://media-blob.qatarsale.com/297382-productcovers/74e1a8e1-09ae-4ec9-82be-3aa051786c22_0_cover.webp']
[' Bentley ', ' Bentayga ', ' Standard ', ' 449,000 ', None, ' 2020 ', ' Automatic ', ' 8 ', ' 24,000 Km', 'http://qatarsale.com/en/product/bentley_bentayga_pearl_suv_automatic_2020-297381', 'https://media-blob.qatarsale.com/297381-productcovers/3484b7ac-5ab1-4e9f-af3c-d704fec12665_0_cover.webp']
[' Suzuki ', ' Jimny ', ' Standard ', ' 75,000 ', None, ' 2024 ', ' Automatic ', ' 4 ', ' 4,400 Km', 'http://qatarsale.com/en/product/suzuki_jimny_silver_suv_automatic_2024-297379', 'https://media-blob.qatarsale.com/297379-productcovers/13c82a24-61c4-42d4-8e95-320518140231_0_cover.webp']
[' Land Rover ', ' Defender ', ' 110 ', ' 335,000 ', None, ' 2024 ', ' Automatic ', ' 4 ', ' 27,000 Km', 'http://qatarsale.com/en/product/land_rover_defender_110_white_suv_automatic_2024-242781', 'https://media-blob.qatarsale.com/242781-productcovers/49f9531b-cfa5-4fb4-904d-e09f266f1846_0_cover.webp']
